policy_id,customer_id,policy_type,premium,sum_insured,start_date,end_date
38,24,Motor,746,74600,4/22/2023,6/3/2024
39,25,Health,3017,301700,5/21/2023,2/11/2028
40,26,Health,4857,485700,8/9/2021,1/31/2023
41,26,Motor,3083,308300,3/8/2023,7/10/2027
42,27,Life,4206,420600,4/3/2022,3/8/2024
43,27,Life,2275,227500,11/4/2020,8/6/2025
44,28,Life,988,98800,11/7/2024,5/9/2028
45,28,Health,3000,300000,4/11/2024,6/17/2028
46,28,Life,3790,379000,2/28/2021,4/18/2024
47,29,Life,3948,394800,3/26/2020,7/8/2024
48,29,Motor,2707,270700,9/28/2020,9/1/2025
49,30,Health,2114,211400,1/8/2023,1/28/2024
50,30,Motor,1559,155900,2/9/2024,8/28/2025
51,30,Life,1222,122200,2/15/2025,10/15/2028
52,31,Motor,1693,169300,10/27/2022,11/8/2024
53,31,Health,2624,262400,11/2/2022,6/18/2024
54,31,Motor,2175,217500,2/27/2024,2/21/2026
55,32,Motor,2396,239600,11/29/2022,5/8/2024
56,32,Motor,3435,343500,8/13/2022,4/3/2026
57,32,Health,4986,498600,3/26/2022,9/20/2025
58,33,Motor,1422,142200,4/29/2022,10/15/2026
59,34,Life,3970,397000,8/11/2021,6/28/2026
60,34,Life,3988,398800,4/14/2022,8/28/2024
61,34,Motor,665,66500,8/27/2020,4/30/2025
62,35,Life,1604,160400,6/18/2023,11/7/2025
63,35,Motor,4489,448900,3/26/2021,6/19/2022
64,35,Motor,3981,398100,8/28/2024,4/22/2027
65,36,Motor,4906,490600,1/15/2021,7/21/2022
66,36,Life,2376,237600,11/22/2022,11/29/2026
67,37,Life,2740,274000,5/24/2024,12/21/2025
68,37,Motor,2766,276600,10/13/2024,6/9/2029
69,38,Motor,3719,371900,4/5/2024,10/16/2027
70,38,Life,2239,223900,1/29/2024,8/24/2026
71,38,Life,2413,241300,10/8/2022,4/22/2026
72,39,Motor,4928,492800,7/8/2021,6/9/2023
73,40,Health,3066,306600,3/22/2024,3/15/2026
74,40,Motor,3602,360200,4/10/2023,8/14/2027
75,41,Health,2464,246400,2/10/2023,5/10/2026
76,41,Health,2454,245400,4/16/2023,9/16/2024
77,42,Motor,1978,197800,10/9/2021,10/1/2024
78,42,Life,2947,294700,7/23/2021,7/24/2025
79,43,Health,1641,164100,3/19/2022,6/13/2024
80,43,Motor,3010,301000,11/13/2024,9/15/2027
81,44,Health,2012,201200,10/1/2021,11/17/2024
82,45,Motor,2910,291000,9/17/2023,3/5/2026
83,46,Health,3734,373400,4/29/2023,10/31/2027
84,46,Life,1987,198700,5/15/2021,1/28/2025
85,47,Motor,2311,231100,7/2/2020,12/1/2021
86,48,Health,3457,345700,10/25/2020,5/10/2025
87,49,Health,2466,246600,11/27/2024,1/10/2027
88,50,Motor,1957,195700,4/26/2022,12/18/2024
89,50,Life,1343,134300,12/18/2023,11/6/2025
90,50,Health,1499,149900,5/2/2021,1/21/2024
91,51,Motor,4126,412600,4/1/2022,10/13/2023
92,51,Motor,1460,146000,1/21/2025,4/1/2026
93,52,Life,3037,303700,12/5/2021,11/14/2023
94,52,Motor,697,69700,7/7/2023,2/25/2026
95,52,Life,4653,465300,3/15/2023,12/16/2024
96,53,Motor,3259,325900,12/19/2020,1/6/2022
97,53,Motor,745,74500,6/12/2022,11/19/2026
98,53,Health,3984,398400,11/21/2021,3/20/2026
99,54,Life,2838,283800,4/19/2024,1/7/2029
100,54,Health,1912,191200,9/23/2023,2/7/2027
101,54,Health,3610,361000,8/18/2024,8/26/2025
102,55,Health,1750,175000,12/22/2020,1/5/2023
103,55,Health,2352,235200,2/9/2025,11/18/2028
104,56,Health,3743,374300,4/2/2021,10/23/2022
105,57,Life,2547,254700,2/25/2023,11/2/2025
106,57,Life,1008,100800,10/8/2024,9/21/2027
107,57,Life,2520,252000,12/11/2022,8/21/2025
108,58,Health,4921,492100,10/28/2024,10/23/2026
109,58,Health,970,97000,2/20/2021,9/2/2022
110,58,Health,2004,200400,3/17/2023,8/29/2027
111,59,Life,1894,189400,5/11/2022,7/18/2023
112,60,Life,1582,158200,5/15/2023,10/24/2025
113,60,Life,3253,325300,4/28/2023,6/22/2027
114,60,Life,4398,439800,12/2/2020,12/20/2022
115,61,Life,2760,276000,7/28/2022,8/17/2025
116,61,Health,2954,295400,8/31/2020,8/28/2025
117,62,Health,1784,178400,3/8/2023,5/21/2027
118,62,Life,1328,132800,9/15/2021,10/10/2023
119,63,Life,4709,470900,11/23/2021,2/14/2023
120,63,Motor,2159,215900,9/6/2023,2/20/2028
121,63,Health,659,65900,10/22/2023,7/22/2027
122,64,Life,4771,477100,9/25/2024,3/11/2029
123,64,Health,1761,176100,7/24/2023,2/22/2028
124,64,Life,2737,273700,4/10/2024,2/24/2029
125,65,Life,4079,407900,1/15/2021,8/13/2023
126,65,Life,2777,277700,1/28/2021,6/25/2024
127,66,Health,842,84200,2/10/2025,1/6/2029
128,66,Health,2958,295800,4/15/2023,3/31/2026
129,66,Health,2010,201000,3/23/2020,10/23/2024
130,67,Motor,1106,110600,7/16/2021,3/27/2025
131,67,Life,3447,344700,10/25/2024,9/9/2027
132,68,Life,2869,286900,8/7/2021,8/16/2022
133,68,Motor,2676,267600,1/17/2025,12/21/2026
134,68,Motor,4342,434200,12/2/2021,2/27/2023
135,69,Health,878,87800,6/15/2022,1/30/2024
136,69,Motor,4988,498800,12/18/2020,10/10/2023
137,69,Health,3968,396800,4/11/2024,4/15/2025
138,70,Life,1839,183900,9/1/2020,6/18/2025
139,70,Motor,806,80600,5/9/2024,9/24/2025
140,70,Motor,4094,409400,2/12/2023,7/9/2027
141,71,Health,2976,297600,1/30/2025,2/28/2027
142,71,Life,4803,480300,3/26/2024,12/30/2027
143,72,Life,877,87700,3/19/2024,6/29/2028
144,72,Motor,902,90200,8/5/2024,8/2/2027
145,72,Motor,1419,141900,7/24/2020,10/17/2021
146,73,Health,1918,191800,11/28/2024,12/18/2027
147,73,Health,1997,199700,3/23/2023,6/13/2026
148,73,Life,1473,147300,4/29/2021,6/9/2025
149,74,Motor,2598,259800,9/30/2022,1/15/2025
150,74,Health,1070,107000,3/29/2022,7/5/2023
151,75,Motor,1561,156100,8/1/2022,5/17/2024
152,75,Motor,2860,286000,11/6/2020,10/29/2025
153,75,Health,1967,196700,12/13/2020,12/23/2022
154,76,Health,505,50500,9/10/2022,12/20/2026
155,76,Health,1664,166400,9/30/2023,8/15/2026
156,77,Life,1233,123300,4/22/2024,12/23/2027
157,78,Motor,2924,292400,2/12/2023,6/4/2026
158,78,Motor,3766,376600,9/13/2023,7/25/2026
159,78,Health,4562,456200,11/4/2023,8/29/2027
160,79,Motor,694,69400,8/29/2023,11/13/2024
161,80,Motor,1496,149600,6/19/2024,9/13/2027
162,80,Health,2048,204800,12/5/2021,9/13/2025
163,81,Motor,3736,373600,5/20/2022,12/29/2025
164,81,Motor,1726,172600,1/10/2024,1/20/2026
165,81,Motor,1211,121100,4/26/2021,8/13/2023
166,82,Motor,3957,395700,2/10/2022,4/30/2026
167,83,Health,3967,396700,1/11/2024,5/3/2026
168,84,Health,2576,257600,11/17/2020,1/16/2024
169,84,Life,3583,358300,7/6/2020,8/3/2023
170,85,Motor,3276,327600,5/11/2024,9/11/2027
171,85,Health,911,91100,2/17/2024,6/18/2025
172,86,Health,3235,323500,5/7/2021,11/26/2025
173,86,Life,4581,458100,12/22/2021,6/4/2025
174,86,Life,747,74700,11/22/2024,1/22/2028
175,87,Health,883,88300,9/8/2020,4/1/2024
176,87,Health,2651,265100,12/24/2020,10/31/2023
177,88,Motor,4330,433000,4/1/2020,7/15/2021
178,88,Health,4694,469400,12/26/2020,12/24/2024
179,88,Health,2800,280000,7/20/2024,2/17/2027
180,89,Life,1872,187200,9/10/2021,7/4/2025
181,89,Health,3430,343000,6/3/2020,4/4/2024
182,89,Motor,2196,219600,12/16/2024,1/14/2028
183,90,Life,3759,375900,10/23/2024,12/13/2028
184,90,Motor,4338,433800,4/13/2021,12/19/2025
185,91,Life,4407,440700,1/18/2024,8/25/2028
186,91,Health,4039,403900,9/15/2021,1/18/2023
187,92,Health,3864,386400,12/26/2024,8/30/2028
188,92,Health,862,86200,5/20/2021,2/4/2024
189,92,Motor,3361,336100,6/1/2022,12/30/2023
190,93,Motor,2142,214200,8/26/2024,3/21/2028
191,93,Health,4355,435500,2/14/2022,4/28/2023
192,94,Motor,2598,259800,11/29/2023,6/16/2026
193,94,Motor,4771,477100,11/21/2021,2/18/2025
194,94,Health,1543,154300,9/30/2024,3/7/2029
195,95,Life,1323,132300,5/9/2021,11/10/2025
196,96,Life,2549,254900,11/1/2020,6/16/2025
197,96,Health,1412,141200,10/30/2022,12/28/2026
198,96,Motor,2550,255000,10/20/2020,11/15/2022
199,97,Health,4007,400700,2/27/2021,2/28/2024
200,97,Health,4886,488600,7/2/2020,12/2/2021
201,97,Life,2403,240300,3/18/2022,5/18/2025
202,98,Health,2383,238300,9/16/2021,9/11/2023
203,98,Motor,3689,368900,1/8/2022,9/27/2023
204,98,Life,4638,463800,6/16/2023,2/24/2028
205,99,Life,4006,400600,11/7/2023,10/26/2027
206,99,Motor,1478,147800,11/23/2020,6/30/2022
207,100,Motor,4970,497000,12/13/2021,3/18/2026
208,101,Motor,765,76500,6/10/2020,2/26/2023
209,101,Motor,1645,164500,6/25/2020,10/18/2022
210,101,Health,1815,181500,6/30/2022,4/2/2026
211,102,Motor,1004,100400,9/6/2021,3/29/2024
212,103,Motor,694,69400,12/27/2023,7/7/2025
213,103,Health,1818,181800,1/27/2021,12/31/2025
214,104,Health,4248,424800,2/5/2024,9/16/2026
215,104,Life,4273,427300,12/4/2020,11/1/2024
216,105,Motor,1142,114200,6/8/2020,5/13/2023
217,105,Health,4473,447300,8/26/2020,5/28/2025
218,106,Health,2786,278600,2/9/2024,6/2/2027
219,106,Motor,1635,163500,4/21/2023,10/12/2027
220,107,Life,2457,245700,1/4/2021,2/28/2022
221,107,Motor,2705,270500,2/3/2024,12/18/2027
222,108,Health,4816,481600,12/23/2023,2/16/2027
223,108,Motor,1343,134300,10/21/2021,9/18/2024
224,109,Health,1785,178500,5/28/2023,10/14/2025
225,109,Health,655,65500,10/10/2020,11/7/2024
226,110,Health,4395,439500,3/18/2021,4/2/2025
227,110,Motor,1854,185400,6/16/2023,8/2/2024
228,111,Health,4492,449200,5/20/2021,12/6/2022
229,111,Life,4075,407500,6/17/2023,5/9/2027
230,112,Life,770,77000,1/11/2023,7/14/2026
231,112,Health,759,75900,12/8/2023,7/9/2025
232,113,Health,2756,275600,1/28/2025,12/6/2026
233,113,Life,4440,444000,1/13/2024,2/7/2028
234,114,Motor,4646,464600,10/5/2024,5/7/2028
235,114,Health,2245,224500,3/28/2022,7/15/2024
236,115,Motor,3171,317100,1/5/2022,11/27/2025
237,116,Health,4562,456200,11/12/2021,8/12/2023
238,117,Health,2916,291600,3/4/2023,9/27/2024
239,117,Health,1715,171500,12/24/2023,10/20/2027
240,118,Life,2543,254300,3/20/2024,1/22/2028
241,118,Health,1189,118900,12/7/2020,11/9/2023
242,118,Health,2019,201900,3/7/2022,7/3/2024
243,119,Health,3622,362200,4/10/2023,1/1/2026
244,120,Life,3512,351200,12/21/2024,6/20/2026
245,120,Motor,4692,469200,2/17/2021,7/14/2022
246,121,Health,4259,425900,7/14/2021,2/17/2024
247,121,Life,1786,178600,8/15/2024,11/28/2026
248,121,Life,2163,216300,7/18/2023,7/27/2027
249,122,Health,2712,271200,12/1/2021,10/6/2024
250,123,Life,3335,333500,11/4/2024,4/4/2026
251,123,Health,4693,469300,10/24/2023,5/2/2026
252,124,Motor,4242,424200,6/12/2022,12/24/2025
253,124,Motor,2164,216400,6/7/2022,2/7/2025
254,125,Health,1741,174100,2/4/2022,8/14/2023
255,125,Motor,1299,129900,8/3/2022,11/24/2026
256,126,Motor,4581,458100,10/21/2022,4/10/2027
257,126,Life,895,89500,8/11/2023,1/26/2027
258,126,Life,4269,426900,3/10/2024,1/25/2028
259,127,Motor,1144,114400,5/9/2020,4/3/2024
260,128,Health,1257,125700,10/25/2023,3/12/2027
261,128,Life,2646,264600,4/1/2022,6/28/2023
262,128,Life,4647,464700,11/24/2021,9/22/2023
263,129,Motor,4582,458200,5/13/2020,2/10/2025
264,129,Motor,835,83500,12/19/2023,9/17/2028
265,130,Life,4264,426400,9/20/2024,2/28/2026
266,130,Life,4332,433200,3/3/2023,8/18/2026
267,130,Health,2840,284000,1/24/2022,5/31/2025
268,131,Life,2056,205600,12/7/2022,2/15/2026
269,131,Life,4349,434900,6/22/2020,4/30/2023
270,131,Motor,4225,422500,1/29/2022,1/3/2026
271,132,Life,1551,155100,4/16/2024,12/17/2028
272,132,Health,2309,230900,12/23/2024,7/26/2027
273,132,Health,2050,205000,11/25/2023,10/22/2027
274,133,Life,1397,139700,10/6/2024,8/28/2028
275,134,Motor,1855,185500,7/17/2022,7/3/2026
276,134,Motor,1131,113100,6/12/2021,12/4/2023
277,134,Motor,2254,225400,9/1/2023,11/22/2024
278,135,Motor,2395,239500,9/13/2022,3/8/2026
279,136,Motor,1123,112300,12/17/2023,12/7/2028
280,136,Health,2578,257800,4/11/2023,5/17/2027
281,136,Life,1655,165500,2/16/2023,11/15/2026
282,137,Life,4939,493900,7/8/2024,10/12/2028
283,137,Life,3407,340700,6/14/2023,6/24/2025
284,138,Life,4237,423700,6/5/2022,3/29/2025
285,138,Motor,1543,154300,10/26/2022,1/18/2026
286,138,Motor,2922,292200,5/16/2023,5/10/2026
287,139,Health,4499,449900,5/9/2020,1/18/2022
288,139,Motor,572,57200,8/10/2021,4/28/2026
289,139,Life,889,88900,12/31/2022,9/9/2024
290,140,Motor,3384,338400,10/23/2023,11/5/2025
291,140,Life,2257,225700,8/30/2021,9/3/2022
292,141,Health,4573,457300,1/2/2023,2/5/2025
293,141,Life,1124,112400,2/27/2024,9/10/2028
294,141,Motor,4204,420400,11/11/2024,12/16/2028
295,142,Health,4289,428900,2/7/2021,4/2/2022
296,142,Life,634,63400,3/16/2023,1/21/2028
297,142,Motor,1690,169000,11/29/2023,7/15/2025
298,143,Health,4052,405200,11/12/2020,9/7/2023
299,143,Motor,4800,480000,12/8/2020,11/27/2022
300,143,Life,1790,179000,6/23/2022,1/15/2027
301,144,Life,2749,274900,5/2/2024,1/4/2027
302,144,Motor,3742,374200,11/12/2023,4/8/2028
303,144,Life,3354,335400,5/19/2023,1/18/2028
304,145,Motor,1318,131800,10/24/2023,10/5/2025
305,145,Motor,3443,344300,1/25/2021,2/24/2025
306,146,Motor,3854,385400,11/8/2023,12/11/2024
307,146,Life,1756,175600,7/16/2021,8/5/2024
308,147,Health,1096,109600,12/2/2021,5/14/2024
309,147,Motor,4345,434500,4/27/2024,6/2/2027
310,148,Motor,802,80200,12/28/2022,7/6/2024
311,148,Life,3114,311400,6/29/2022,8/24/2023
312,149,Motor,4514,451400,1/6/2021,10/28/2024
313,149,Motor,924,92400,10/8/2022,7/23/2026
314,150,Life,1496,149600,5/11/2022,1/15/2025
315,151,Motor,3925,392500,7/6/2023,6/30/2028
316,151,Motor,2807,280700,8/25/2020,5/14/2025
317,152,Motor,1650,165000,12/30/2024,11/18/2028
318,153,Motor,2579,257900,5/8/2023,4/19/2025
319,153,Motor,1736,173600,6/1/2024,10/22/2026
320,153,Life,1835,183500,5/6/2023,5/13/2027
321,154,Motor,3742,374200,2/5/2025,5/11/2029
322,154,Motor,2890,289000,9/20/2022,12/21/2025
323,154,Health,1182,118200,3/10/2022,10/27/2024
324,155,Motor,527,52700,8/3/2020,11/24/2021
325,156,Motor,750,75000,8/24/2023,1/6/2028
326,156,Health,3397,339700,6/5/2023,8/19/2024
327,156,Motor,3706,370600,4/28/2023,12/7/2024
328,157,Motor,1852,185200,9/29/2023,10/18/2024
329,158,Motor,935,93500,9/8/2022,8/22/2025
330,158,Life,3528,352800,6/14/2020,1/28/2022
331,159,Life,3638,363800,9/15/2024,6/3/2027
332,160,Health,1636,163600,11/9/2021,5/8/2023
333,160,Motor,2752,275200,5/1/2022,9/21/2026
334,160,Life,824,82400,1/17/2023,9/12/2024
335,161,Life,3053,305300,12/22/2021,8/25/2025
336,162,Life,4978,497800,2/13/2021,6/26/2024
337,162,Life,1456,145600,7/30/2020,4/17/2024
338,163,Health,603,60300,2/16/2025,5/2/2027
339,163,Life,4341,434100,2/4/2021,3/3/2024
340,164,Motor,4750,475000,5/13/2021,3/5/2024
341,164,Health,2988,298800,3/25/2021,10/17/2024
342,164,Motor,1447,144700,9/29/2021,11/2/2023
343,165,Health,1655,165500,11/8/2023,2/12/2027
344,165,Health,3671,367100,7/25/2022,11/5/2023
345,166,Motor,1787,178700,2/8/2022,9/29/2024
346,166,Life,1278,127800,5/8/2020,11/26/2023
347,167,Life,2660,266000,8/8/2023,4/6/2026
348,168,Life,4396,439600,12/25/2023,5/10/2028
349,168,Health,1390,139000,7/23/2020,7/31/2022
350,168,Health,2487,248700,9/11/2024,8/19/2027
351,169,Motor,3032,303200,6/1/2023,2/24/2027
352,170,Life,3672,367200,2/6/2023,3/19/2027
353,171,Health,699,69900,2/5/2023,8/20/2024
354,171,Health,550,55000,12/24/2022,4/14/2027
355,171,Motor,1759,175900,12/29/2021,1/30/2023
356,172,Motor,3220,322000,1/6/2021,8/21/2025
357,172,Motor,702,70200,10/13/2023,12/16/2024
358,173,Health,1599,159900,3/29/2020,1/28/2022
359,173,Life,2467,246700,3/15/2022,3/8/2025
360,174,Life,2301,230100,8/7/2023,3/6/2027
361,174,Health,1833,183300,8/17/2022,1/7/2024
362,175,Life,3163,316300,4/6/2020,2/19/2024
363,176,Health,3075,307500,4/27/2023,12/29/2026
364,176,Life,4141,414100,9/29/2021,5/18/2026
365,177,Health,4539,453900,2/23/2023,10/7/2024
366,177,Life,825,82500,12/11/2023,10/8/2025
367,177,Life,2999,299900,12/24/2020,11/23/2022
368,178,Life,2559,255900,4/29/2022,6/2/2026
369,179,Life,3920,392000,1/1/2021,11/22/2023
370,179,Motor,2605,260500,6/18/2020,3/20/2024
371,180,Motor,4857,485700,11/4/2021,1/5/2023
372,181,Life,1074,107400,8/31/2021,7/23/2023
373,182,Motor,2660,266000,2/12/2025,5/25/2027
374,183,Health,2123,212300,10/7/2022,6/3/2026
375,183,Motor,4124,412400,10/23/2023,11/8/2026
376,184,Health,1306,130600,11/20/2021,11/7/2024
377,184,Health,4941,494100,6/8/2020,10/13/2024
378,184,Health,3798,379800,8/26/2020,2/8/2023
379,185,Life,1424,142400,4/6/2022,7/11/2023
380,185,Health,1544,154400,1/10/2025,2/23/2027
381,185,Health,2508,250800,11/25/2022,12/4/2025
382,186,Motor,4058,405800,5/5/2020,12/14/2021
383,186,Motor,1495,149500,7/10/2022,3/16/2024
384,186,Motor,3020,302000,1/10/2021,1/12/2023
385,187,Health,3575,357500,9/16/2021,1/4/2023
386,187,Health,883,88300,12/28/2023,12/26/2025
387,188,Health,4596,459600,7/18/2022,3/22/2025
388,188,Motor,3120,312000,6/17/2023,5/14/2025
389,188,Life,1910,191000,6/3/2024,12/15/2027
390,189,Life,2883,288300,3/12/2023,1/16/2027
391,189,Life,4826,482600,7/25/2021,7/7/2025
392,189,Life,3700,370000,4/2/2020,2/16/2025
393,190,Life,3072,307200,11/20/2022,3/25/2026
394,191,Health,2731,273100,11/23/2023,12/12/2027
395,191,Health,2257,225700,9/6/2020,11/16/2021
396,192,Motor,3016,301600,12/7/2024,4/12/2026
397,193,Motor,4556,455600,4/1/2020,7/21/2022
398,193,Motor,585,58500,2/15/2022,7/2/2023
399,193,Motor,4350,435000,1/27/2024,4/10/2025
400,194,Life,4120,412000,10/20/2024,1/19/2027
401,194,Life,3331,333100,12/3/2023,7/5/2025
402,195,Health,2219,221900,6/19/2022,12/31/2023
403,195,Motor,3643,364300,7/15/2024,12/20/2027
404,195,Health,3913,391300,5/12/2020,12/11/2024
405,196,Life,2926,292600,6/3/2023,8/4/2026
406,196,Health,3516,351600,7/10/2023,2/14/2027
407,197,Life,4898,489800,2/9/2024,1/12/2026
408,198,Life,3191,319100,10/6/2020,7/7/2022
409,198,Life,1534,153400,3/9/2024,2/10/2027
410,199,Health,2885,288500,10/29/2024,4/2/2029
411,199,Life,1027,102700,3/1/2022,5/25/2025
412,200,Life,510,51000,8/31/2020,3/26/2024
413,201,Life,899,89900,4/20/2021,7/27/2022
414,201,Motor,4753,475300,10/18/2020,11/22/2023
415,202,Life,4372,437200,11/17/2021,12/13/2022
416,202,Life,1715,171500,8/25/2024,11/21/2027
417,202,Life,1884,188400,9/29/2023,2/16/2027
418,203,Health,2868,286800,7/29/2022,5/10/2025
419,203,Health,2261,226100,4/8/2023,4/26/2025
420,204,Life,3189,318900,7/8/2022,3/6/2026
421,205,Life,4210,421000,5/5/2020,4/27/2025
422,205,Motor,1550,155000,5/12/2021,5/20/2022
423,205,Life,512,51200,8/21/2022,9/7/2023
424,206,Motor,3688,368800,7/3/2024,2/24/2027
425,207,Health,3592,359200,4/4/2024,6/10/2025
426,207,Life,870,87000,1/11/2024,12/14/2026
427,207,Life,3246,324600,7/31/2024,12/20/2025
428,208,Motor,2580,258000,8/25/2024,5/3/2026
429,208,Motor,3058,305800,1/5/2021,8/14/2025
430,208,Life,4243,424300,2/18/2021,8/1/2022
431,209,Life,4309,430900,11/7/2021,8/22/2026
432,209,Life,1153,115300,6/21/2020,8/16/2023
433,209,Health,3684,368400,8/26/2023,2/14/2026
434,210,Life,766,76600,9/17/2021,4/27/2025
435,210,Health,3781,378100,8/29/2021,12/15/2023
436,211,Motor,2284,228400,7/10/2024,7/23/2026
437,212,Health,4922,492200,10/21/2022,7/1/2026
438,212,Health,876,87600,6/8/2020,3/6/2023
439,212,Motor,3582,358200,7/5/2021,12/6/2024
440,213,Motor,1988,198800,4/23/2022,11/13/2026
441,213,Motor,3816,381600,3/13/2022,8/12/2026
442,213,Health,3448,344800,6/15/2024,9/23/2027
443,214,Motor,3706,370600,10/11/2024,3/15/2026
444,215,Health,3349,334900,8/23/2020,1/11/2025
445,216,Motor,3785,378500,8/25/2020,6/9/2022
446,216,Motor,1595,159500,10/18/2023,10/17/2026
447,217,Life,3626,362600,2/14/2023,3/12/2027
448,217,Health,4487,448700,12/12/2022,5/7/2024
449,217,Health,2484,248400,7/24/2023,8/15/2026
450,218,Life,4136,413600,4/11/2024,8/11/2025
451,218,Life,1740,174000,2/2/2024,12/19/2025
452,218,Motor,3562,356200,9/1/2023,4/13/2025
453,219,Health,3335,333500,9/16/2021,10/20/2023
454,219,Health,3094,309400,5/19/2021,8/22/2022
455,220,Motor,1164,116400,3/2/2024,11/12/2027
456,221,Health,1470,147000,11/7/2020,8/26/2024
457,221,Motor,3807,380700,5/24/2024,7/12/2028
458,221,Life,849,84900,12/22/2024,3/16/2029
459,222,Motor,1455,145500,8/2/2024,12/31/2026
460,222,Health,1197,119700,10/24/2021,5/14/2026
461,222,Motor,763,76300,6/19/2022,7/1/2024
462,223,Life,3648,364800,4/8/2024,12/4/2025
463,223,Life,1977,197700,1/10/2024,3/4/2027
464,223,Motor,3590,359000,1/28/2023,1/23/2027
465,224,Health,3043,304300,3/11/2025,8/23/2027
466,224,Health,4591,459100,3/20/2024,6/28/2027
467,225,Motor,3649,364900,2/20/2022,4/6/2024
468,225,Life,790,79000,5/2/2020,5/24/2024
469,225,Motor,987,98700,9/9/2024,8/14/2028
470,226,Health,2868,286800,3/29/2020,4/4/2022
471,226,Health,1804,180400,4/12/2023,1/22/2027
472,226,Life,686,68600,9/14/2020,11/16/2023
473,227,Health,3187,318700,10/21/2020,5/17/2024
474,228,Motor,961,96100,4/3/2023,2/26/2028
475,228,Health,2349,234900,2/19/2024,5/25/2025
476,228,Life,968,96800,7/18/2022,9/22/2025
477,229,Life,1626,162600,10/6/2024,1/16/2028
478,229,Motor,1802,180200,3/6/2024,8/4/2028
479,230,Health,4438,443800,4/19/2022,10/20/2026
480,230,Motor,3348,334800,5/29/2020,9/19/2021
481,231,Health,3727,372700,9/12/2024,7/31/2029
482,231,Health,1186,118600,11/13/2021,12/17/2025
483,232,Life,1369,136900,2/6/2022,5/23/2024
484,233,Life,3138,313800,10/3/2024,7/7/2029
485,234,Health,2126,212600,3/28/2020,10/18/2022
486,234,Motor,3628,362800,4/2/2020,7/7/2021
487,235,Motor,4518,451800,1/4/2023,8/5/2026
488,235,Health,2593,259300,4/24/2020,1/27/2024
489,235,Motor,800,80000,2/14/2022,11/12/2025
490,236,Motor,3593,359300,9/30/2022,4/1/2024
491,237,Health,4790,479000,2/28/2024,6/23/2026
492,237,Motor,3829,382900,7/13/2023,9/2/2025
493,238,Motor,4790,479000,12/16/2020,4/25/2022
494,238,Motor,1385,138500,5/12/2022,2/28/2026
495,238,Motor,3730,373000,12/28/2021,7/7/2023
496,239,Health,847,84700,5/2/2022,5/18/2025
497,239,Motor,2261,226100,1/13/2022,3/22/2024
498,239,Health,2247,224700,1/29/2025,1/12/2027
499,240,Health,4051,405100,7/27/2022,10/20/2026
500,240,Health,1048,104800,1/12/2021,4/3/2022
501,241,Health,2999,299900,2/21/2024,1/21/2028
502,241,Health,1426,142600,5/24/2023,9/29/2027
503,242,Life,908,90800,6/7/2023,5/15/2026
504,243,Life,3096,309600,12/7/2020,8/29/2022
505,243,Health,552,55200,11/28/2023,11/15/2028
506,243,Health,2751,275100,8/6/2023,7/21/2028
507,244,Motor,3645,364500,3/3/2022,9/18/2024
508,245,Health,3989,398900,8/23/2022,7/5/2026
509,245,Motor,3133,313300,9/8/2023,3/25/2026
510,246,Motor,2487,248700,1/4/2025,8/12/2027
511,247,Motor,562,56200,5/19/2020,8/15/2023
