communication_id,customer_id,timestamp,channel,reason_category,message_text,sentiment,outcome,related_claim_id
60,20,2025-02-10 12:31:18,In-Person,Call Log,General inquiry about policy coverage,Negative,Acknowledged,
61,20,2023-04-14 16:38:38,Chatbot,Feedback,Request for better mobile app experience,Negative,Escalated,
62,20,2023-05-25 12:12:16,Phone,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
63,21,2025-02-20 21:47:29,Chatbot,Call Log,Question regarding renewal process,Negative,Pending Info,34.0
64,22,2023-08-13 01:56:49,Phone,Call Log,Inquiry about adding a family member to the policy,Neutral,Escalated,35.0
65,22,2025-01-23 09:34:28,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Resolved,36.0
66,22,2024-02-18 20:06:02,Social Media,Complaint,Billing error in latest statement,Negative,Acknowledged,36.0
67,22,2023-10-07 17:27:19,Chatbot,Complaint,Billing error in latest statement,Negative,Pending Info,35.0
68,22,2024-01-24 18:13:14,Email,Call Log,Verification of updated contact details,Neutral,Pending Info,36.0
69,23,2024-11-04 18:45:51,Email,Feedback,Overall positive feedback on service,Neutral,Pending Info,
70,23,2024-08-24 12:19:40,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Escalated,
71,24,2024-09-13 09:06:52,Chatbot,Feedback,Overall positive feedback on service,Neutral,Resolved,
72,24,2023-11-06 00:22:26,Phone,Complaint,Incorrect personal details on file,Neutral,Pending Info,46.0
73,25,2024-07-01 11:45:42,In-Person,Feedback,Suggestion for new policy feature,Positive,Escalated,
74,25,2024-10-13 12:45:24,Email,Complaint,Policy cancellation issue,Negative,Pending Info,49.0
75,25,2023-11-03 14:32:05,Chatbot,Complaint,Unsatisfactory claim process,Negative,Pending Info,
76,25,2023-12-12 03:41:51,In-Person,Call Log,General inquiry about policy coverage,Neutral,Escalated,49.0
77,26,2024-06-24 14:02:18,Chatbot,Complaint,Long wait time on phone support,Neutral,Acknowledged,
78,26,2024-08-23 22:16:19,Email,Complaint,Long wait time on phone support,Negative,Escalated,
79,27,2024-02-19 05:37:05,In-Person,Call Log,General inquiry about policy coverage,Negative,Resolved,
80,27,2024-09-26 00:11:01,In-Person,Feedback,Suggestion for new policy feature,Negative,Pending Info,
81,28,2023-03-24 08:49:26,Chatbot,Complaint,Billing error in latest statement,Negative,Acknowledged,54.0
82,28,2024-11-23 14:05:28,Email,Feedback,Concern about premium increase,Negative,Pending Info,
83,28,2023-09-16 09:58:32,Phone,Call Log,Inquiry about adding a family member to the policy,Neutral,Resolved,55.0
84,29,2024-01-25 15:11:12,In-Person,Feedback,Appreciation for quick claim settlement,Positive,Pending Info,
85,30,2024-03-03 21:34:13,In-Person,Call Log,General inquiry about policy coverage,Neutral,Acknowledged,
86,30,2023-08-07 15:51:20,Email,Complaint,Incorrect personal details on file,Neutral,Resolved,
87,30,2023-04-06 05:06:56,Chatbot,Call Log,Inquiry about adding a family member to the policy,Neutral,Acknowledged,62.0
88,30,2024-05-17 04:31:27,Phone,Call Log,Follow-up call on a pending claim,Neutral,Pending Info,61.0
89,30,2024-08-05 07:34:19,Chatbot,Call Log,General inquiry about policy coverage,Positive,Acknowledged,61.0
90,31,2024-08-20 15:09:46,Phone,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,64.0
91,31,2023-06-02 21:53:15,In-Person,Call Log,General inquiry about policy coverage,Negative,Resolved,
92,31,2024-08-25 01:38:00,Phone,Feedback,Request for better mobile app experience,Neutral,Resolved,
93,32,2025-03-15 02:14:48,Chatbot,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
94,32,2024-07-29 17:49:19,Email,Complaint,Billing error in latest statement,Negative,Pending Info,66.0
95,33,2024-08-23 07:46:20,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Escalated,68.0
96,33,2023-04-19 08:44:11,Email,Complaint,Long wait time on phone support,Neutral,Acknowledged,68.0
97,33,2023-11-15 07:52:30,Chatbot,Feedback,Request for better mobile app experience,Positive,Acknowledged,
98,34,2023-04-29 23:47:42,Social Media,Complaint,Unsatisfactory claim process,Negative,Pending Info,
99,34,2023-04-08 02:49:13,Phone,Feedback,Concern about premium increase,Positive,Resolved,
100,34,2023-03-17 17:36:17,In-Person,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,69.0
101,34,2023-09-02 01:11:07,In-Person,Complaint,Unsatisfactory claim process,Negative,Resolved,71.0
102,34,2023-10-07 17:16:43,In-Person,Call Log,Inquiry about adding a family member to the policy,Negative,Escalated,69.0
103,35,2024-03-31 09:00:16,Social Media,Complaint,Long wait time on phone support,Negative,Pending Info,74.0
104,35,2025-01-07 16:46:26,Email,Complaint,Unsatisfactory claim process,Negative,Escalated,76.0
105,35,2023-04-28 20:31:48,In-Person,Feedback,Request for better mobile app experience,Neutral,Resolved,
106,36,2024-01-10 01:02:07,In-Person,Complaint,Incorrect personal details on file,Negative,Resolved,78.0
107,36,2024-07-11 10:19:04,Chatbot,Complaint,Billing error in latest statement,Neutral,Acknowledged,79.0
108,36,2024-10-18 22:48:58,Phone,Call Log,Question regarding renewal process,Neutral,Resolved,
109,36,2024-01-22 22:02:39,In-Person,Complaint,Long wait time on phone support,Negative,Acknowledged,78.0
110,37,2025-02-19 16:08:23,Phone,Feedback,Overall positive feedback on service,Positive,Escalated,
111,37,2024-07-19 06:20:50,Phone,Complaint,Policy cancellation issue,Neutral,Acknowledged,84.0
112,38,2024-05-09 18:32:07,Social Media,Call Log,Question regarding renewal process,Positive,Escalated,88.0
113,38,2023-05-25 03:01:51,Chatbot,Complaint,Billing error in latest statement,Negative,Acknowledged,88.0
114,38,2024-04-05 20:35:02,Social Media,Call Log,Follow-up call on a pending claim,Negative,Acknowledged,87.0
115,38,2023-08-25 17:39:42,In-Person,Complaint,Unsatisfactory claim process,Neutral,Pending Info,86.0
116,38,2024-06-21 15:50:25,Social Media,Call Log,General inquiry about policy coverage,Positive,Resolved,86.0
117,39,2024-02-23 00:13:55,Email,Complaint,Unsatisfactory claim process,Negative,Escalated,
118,40,2024-08-10 12:53:13,Social Media,Complaint,Policy cancellation issue,Neutral,Escalated,97.0
119,40,2024-01-05 23:46:36,Email,Feedback,Concern about premium increase,Positive,Escalated,
120,41,2024-01-07 19:44:54,In-Person,Call Log,Follow-up call on a pending claim,Negative,Escalated,101.0
121,41,2024-09-03 20:47:12,Chatbot,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
122,41,2023-09-25 13:30:48,Email,Feedback,Suggestion for new policy feature,Positive,Resolved,
123,41,2024-02-03 06:48:08,Chatbot,Complaint,Long wait time on phone support,Neutral,Resolved,99.0
124,41,2023-03-27 01:48:34,In-Person,Feedback,Request for better mobile app experience,Positive,Acknowledged,
125,42,2023-07-12 08:57:45,Phone,Feedback,Overall positive feedback on service,Positive,Resolved,
126,42,2023-06-24 03:58:25,Social Media,Feedback,Request for better mobile app experience,Neutral,Acknowledged,
127,43,2023-09-09 13:06:00,Social Media,Complaint,Billing error in latest statement,Negative,Pending Info,
128,43,2023-12-21 03:57:21,Social Media,Call Log,Follow-up call on a pending claim,Negative,Acknowledged,
129,43,2025-02-22 23:39:24,Phone,Call Log,Verification of updated contact details,Neutral,Pending Info,109.0
130,44,2024-02-05 20:57:28,Chatbot,Complaint,Long wait time on phone support,Negative,Resolved,
131,44,2023-11-09 15:23:12,Social Media,Call Log,Question regarding renewal process,Neutral,Resolved,
132,45,2024-06-20 12:47:49,Email,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
133,45,2025-02-15 15:46:41,Social Media,Complaint,Policy cancellation issue,Negative,Acknowledged,
134,46,2023-11-25 00:19:02,Social Media,Call Log,Question regarding renewal process,Neutral,Resolved,115.0
135,46,2023-08-05 10:36:26,Email,Complaint,Unsatisfactory claim process,Negative,Escalated,114.0
136,46,2024-08-28 22:11:24,Social Media,Complaint,Incorrect personal details on file,Negative,Resolved,113.0
137,46,2023-07-17 15:24:17,Social Media,Complaint,Billing error in latest statement,Negative,Acknowledged,111.0
138,46,2024-02-23 23:42:15,Phone,Complaint,Policy cancellation issue,Neutral,Escalated,111.0
139,47,2024-11-25 09:52:19,Social Media,Feedback,Appreciation for quick claim settlement,Negative,Pending Info,
140,48,2024-05-14 07:57:39,Phone,Complaint,Unsatisfactory claim process,Negative,Pending Info,
141,48,2023-08-31 07:49:33,Social Media,Call Log,Inquiry about adding a family member to the policy,Positive,Resolved,
142,48,2023-09-18 09:26:01,Phone,Call Log,Question regarding renewal process,Positive,Acknowledged,
143,48,2023-06-03 12:14:33,In-Person,Feedback,Appreciation for quick claim settlement,Negative,Escalated,
144,49,2024-03-02 17:58:05,Social Media,Call Log,Follow-up call on a pending claim,Neutral,Escalated,
145,49,2023-07-22 07:40:42,Phone,Feedback,Concern about premium increase,Negative,Escalated,
146,50,2023-07-27 12:46:32,Social Media,Call Log,Inquiry about adding a family member to the policy,Positive,Resolved,
147,50,2023-07-24 14:18:45,In-Person,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,117.0
148,50,2024-10-20 22:38:09,Email,Complaint,Incorrect personal details on file,Negative,Resolved,116.0
149,50,2024-08-07 21:23:30,Phone,Feedback,Suggestion for new policy feature,Negative,Pending Info,
150,51,2023-10-11 02:05:48,In-Person,Call Log,Inquiry about adding a family member to the policy,Neutral,Escalated,125.0
151,52,2023-08-13 03:36:02,Email,Feedback,Appreciation for quick claim settlement,Positive,Resolved,
152,52,2025-02-14 22:13:43,In-Person,Complaint,Billing error in latest statement,Negative,Pending Info,130.0
153,53,2025-02-06 10:29:34,Email,Complaint,Long wait time on phone support,Negative,Escalated,
154,53,2023-10-01 12:17:37,Phone,Call Log,Follow-up call on a pending claim,Negative,Acknowledged,135.0
155,53,2025-01-22 09:05:49,In-Person,Feedback,Suggestion for new policy feature,Negative,Escalated,
156,54,2024-09-04 05:58:53,Phone,Call Log,Question regarding renewal process,Positive,Resolved,141.0
157,54,2023-10-24 03:30:11,In-Person,Complaint,Incorrect personal details on file,Negative,Resolved,141.0
158,54,2023-06-02 09:08:21,Email,Call Log,Follow-up call on a pending claim,Positive,Resolved,
159,54,2023-03-31 08:41:35,Email,Complaint,Unsatisfactory claim process,Negative,Acknowledged,142.0
160,55,2023-11-07 13:31:57,Email,Feedback,Appreciation for quick claim settlement,Positive,Pending Info,
161,55,2024-10-25 11:53:22,In-Person,Complaint,Incorrect personal details on file,Neutral,Resolved,
162,55,2024-12-28 10:13:07,In-Person,Complaint,Policy cancellation issue,Negative,Pending Info,143.0
163,55,2023-04-09 12:06:38,Email,Complaint,Incorrect personal details on file,Negative,Escalated,143.0
164,56,2024-10-06 15:42:05,In-Person,Feedback,Request for better mobile app experience,Negative,Escalated,
165,56,2023-04-07 06:05:30,Chatbot,Complaint,Unsatisfactory claim process,Negative,Acknowledged,
166,56,2023-11-12 13:20:39,Chatbot,Feedback,Concern about premium increase,Positive,Acknowledged,
167,56,2024-05-09 17:52:12,In-Person,Call Log,General inquiry about policy coverage,Neutral,Acknowledged,
168,56,2024-07-02 16:00:13,Phone,Complaint,Long wait time on phone support,Neutral,Escalated,
169,57,2023-04-19 05:33:09,Email,Call Log,Inquiry about adding a family member to the policy,Positive,Resolved,149.0
170,57,2024-06-23 22:39:16,Email,Feedback,Concern about premium increase,Neutral,Resolved,
171,57,2024-11-03 09:37:09,Phone,Call Log,Question regarding renewal process,Negative,Escalated,
172,58,2023-06-08 21:36:40,Chatbot,Feedback,Concern about premium increase,Positive,Acknowledged,
173,58,2025-02-15 13:32:30,Chatbot,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
174,58,2024-11-04 02:40:50,Phone,Call Log,Follow-up call on a pending claim,Negative,Resolved,
175,59,2025-03-08 13:44:23,Chatbot,Complaint,Policy cancellation issue,Negative,Acknowledged,157.0
176,59,2024-07-31 09:52:48,Chatbot,Complaint,Long wait time on phone support,Negative,Escalated,157.0
177,59,2024-11-09 21:31:22,Phone,Call Log,General inquiry about policy coverage,Positive,Escalated,157.0
178,59,2023-04-20 15:16:14,Social Media,Complaint,Incorrect personal details on file,Neutral,Resolved,157.0
179,59,2024-12-03 15:38:09,In-Person,Feedback,Appreciation for quick claim settlement,Negative,Pending Info,
180,60,2024-04-07 16:17:32,Social Media,Call Log,General inquiry about policy coverage,Negative,Resolved,
181,60,2023-12-19 17:57:24,Email,Complaint,Long wait time on phone support,Negative,Acknowledged,
182,60,2024-06-09 04:19:37,Phone,Feedback,Overall positive feedback on service,Positive,Acknowledged,
183,60,2025-03-14 12:47:47,Social Media,Complaint,Long wait time on phone support,Negative,Resolved,160.0
184,61,2024-04-07 19:19:40,In-Person,Feedback,Request for better mobile app experience,Positive,Pending Info,
185,61,2023-09-05 12:12:02,Email,Feedback,Request for better mobile app experience,Neutral,Escalated,
186,61,2024-06-28 07:46:18,Phone,Complaint,Unsatisfactory claim process,Neutral,Resolved,163.0
187,61,2024-01-10 01:46:05,Social Media,Complaint,Billing error in latest statement,Negative,Escalated,161.0
188,61,2023-06-18 15:00:28,In-Person,Call Log,Follow-up call on a pending claim,Positive,Acknowledged,164.0
189,62,2025-02-27 10:23:44,Chatbot,Complaint,Policy cancellation issue,Negative,Resolved,166.0
190,62,2024-08-08 16:50:43,Phone,Feedback,Suggestion for new policy feature,Positive,Pending Info,
191,62,2024-06-08 17:27:00,In-Person,Complaint,Billing error in latest statement,Negative,Acknowledged,166.0
192,63,2023-08-29 20:55:49,Social Media,Complaint,Policy cancellation issue,Negative,Escalated,172.0
193,63,2023-11-15 16:58:59,Chatbot,Complaint,Billing error in latest statement,Negative,Escalated,170.0
194,63,2024-03-19 05:53:48,Phone,Feedback,Appreciation for quick claim settlement,Negative,Acknowledged,
195,64,2023-09-13 07:06:13,In-Person,Complaint,Long wait time on phone support,Negative,Escalated,177.0
196,64,2023-03-24 21:43:21,Chatbot,Complaint,Incorrect personal details on file,Negative,Acknowledged,177.0
197,64,2023-09-29 01:28:23,Chatbot,Feedback,Suggestion for new policy feature,Negative,Escalated,
198,64,2023-08-21 16:35:02,Social Media,Feedback,Appreciation for quick claim settlement,Positive,Pending Info,
199,65,2023-10-11 16:19:30,Email,Feedback,Overall positive feedback on service,Neutral,Pending Info,
200,65,2023-04-05 02:38:57,Chatbot,Call Log,Verification of updated contact details,Positive,Escalated,179.0
201,66,2023-03-17 08:32:11,Email,Feedback,Request for better mobile app experience,Neutral,Resolved,
202,66,2024-03-16 20:27:08,In-Person,Call Log,Question regarding renewal process,Positive,Acknowledged,
203,67,2023-09-03 23:17:19,Social Media,Feedback,Concern about premium increase,Negative,Pending Info,
204,67,2024-05-28 13:12:40,In-Person,Feedback,Appreciation for quick claim settlement,Positive,Resolved,
205,67,2024-12-15 08:59:01,Email,Complaint,Policy cancellation issue,Negative,Pending Info,
206,67,2024-05-07 20:11:42,Social Media,Feedback,Concern about premium increase,Neutral,Resolved,
207,67,2024-01-19 09:38:21,Email,Feedback,Overall positive feedback on service,Negative,Pending Info,
208,68,2024-02-20 23:22:13,Chatbot,Complaint,Billing error in latest statement,Negative,Escalated,188.0
209,68,2023-08-26 06:58:49,Email,Complaint,Policy cancellation issue,Negative,Resolved,188.0
210,68,2024-05-04 01:37:50,Phone,Complaint,Billing error in latest statement,Negative,Pending Info,189.0
211,68,2024-05-18 09:12:15,Chatbot,Call Log,General inquiry about policy coverage,Neutral,Escalated,188.0
212,68,2023-12-03 18:02:10,Phone,Feedback,Overall positive feedback on service,Negative,Pending Info,
213,69,2024-06-22 07:57:56,Email,Feedback,Appreciation for quick claim settlement,Neutral,Resolved,
214,69,2025-01-20 03:17:21,Phone,Feedback,Request for better mobile app experience,Negative,Pending Info,
215,69,2024-04-13 14:19:55,Social Media,Call Log,Verification of updated contact details,Neutral,Escalated,192.0
216,69,2024-07-17 20:16:34,Phone,Feedback,Suggestion for new policy feature,Positive,Escalated,
217,69,2024-02-27 21:05:40,Social Media,Complaint,Policy cancellation issue,Negative,Acknowledged,191.0
218,70,2023-12-22 14:08:49,In-Person,Complaint,Long wait time on phone support,Negative,Resolved,196.0
219,71,2023-05-27 15:21:11,Social Media,Call Log,Verification of updated contact details,Positive,Resolved,202.0
220,71,2024-07-27 04:55:17,Phone,Feedback,Request for better mobile app experience,Neutral,Escalated,
221,72,2024-03-26 23:42:19,Phone,Call Log,Inquiry about adding a family member to the policy,Neutral,Acknowledged,204.0
222,72,2023-05-13 09:28:14,Chatbot,Call Log,Question regarding renewal process,Positive,Escalated,205.0
223,73,2024-08-09 19:11:24,Social Media,Call Log,Follow-up call on a pending claim,Positive,Resolved,206.0
224,73,2024-11-15 21:45:04,Social Media,Call Log,Inquiry about adding a family member to the policy,Neutral,Resolved,207.0
225,74,2023-06-20 01:04:43,In-Person,Complaint,Unsatisfactory claim process,Neutral,Acknowledged,
226,74,2023-05-21 08:15:18,Phone,Complaint,Unsatisfactory claim process,Neutral,Acknowledged,212.0
227,74,2024-09-04 07:02:20,In-Person,Complaint,Incorrect personal details on file,Negative,Acknowledged,212.0
228,74,2023-05-23 19:12:26,Social Media,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
229,74,2023-09-15 06:49:39,Social Media,Complaint,Billing error in latest statement,Negative,Resolved,212.0
230,75,2023-07-04 02:24:40,Social Media,Call Log,Inquiry about adding a family member to the policy,Negative,Pending Info,
231,75,2024-03-03 01:21:43,In-Person,Complaint,Long wait time on phone support,Neutral,Acknowledged,214.0
232,75,2024-09-01 16:29:37,Phone,Complaint,Long wait time on phone support,Negative,Acknowledged,
233,75,2023-04-05 13:30:38,Chatbot,Complaint,Policy cancellation issue,Negative,Resolved,
234,75,2023-04-01 03:47:34,Chatbot,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
235,76,2024-11-10 02:47:02,Email,Call Log,General inquiry about policy coverage,Negative,Pending Info,
236,77,2023-05-15 20:29:48,Email,Complaint,Billing error in latest statement,Negative,Resolved,225.0
237,77,2024-03-02 03:08:16,Email,Call Log,Question regarding renewal process,Positive,Acknowledged,224.0
238,77,2024-10-05 16:35:43,In-Person,Feedback,Appreciation for quick claim settlement,Positive,Pending Info,
239,77,2023-03-18 15:00:19,Phone,Call Log,Follow-up call on a pending claim,Negative,Acknowledged,225.0
240,77,2024-08-08 11:42:12,Chatbot,Complaint,Billing error in latest statement,Negative,Pending Info,
241,78,2025-03-02 06:55:35,Phone,Feedback,Overall positive feedback on service,Negative,Resolved,
242,78,2024-12-19 23:27:59,In-Person,Feedback,Overall positive feedback on service,Positive,Escalated,
243,78,2024-07-28 18:25:42,Email,Complaint,Billing error in latest statement,Neutral,Resolved,
244,79,2023-05-27 06:22:35,Email,Feedback,Appreciation for quick claim settlement,Neutral,Acknowledged,
245,79,2024-07-08 23:56:10,Social Media,Complaint,Long wait time on phone support,Negative,Acknowledged,230.0
246,79,2024-06-05 01:12:12,Social Media,Call Log,General inquiry about policy coverage,Negative,Escalated,
247,79,2023-11-06 11:32:24,Phone,Complaint,Policy cancellation issue,Neutral,Escalated,
248,80,2023-09-25 17:19:44,Phone,Feedback,Appreciation for quick claim settlement,Negative,Resolved,
249,80,2024-03-31 17:54:00,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,232.0
250,81,2025-03-14 13:27:40,Phone,Complaint,Billing error in latest statement,Negative,Resolved,234.0
251,81,2025-01-11 09:41:52,Phone,Call Log,Verification of updated contact details,Neutral,Acknowledged,237.0
252,82,2024-03-29 01:11:11,Chatbot,Complaint,Incorrect personal details on file,Neutral,Acknowledged,
253,82,2023-11-14 23:50:58,Email,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
254,82,2025-01-03 07:32:39,In-Person,Complaint,Billing error in latest statement,Neutral,Acknowledged,
255,82,2025-01-30 07:50:23,Social Media,Complaint,Unsatisfactory claim process,Neutral,Pending Info,
256,82,2024-08-31 22:59:33,Email,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,
257,83,2024-04-26 20:14:24,Email,Call Log,Question regarding renewal process,Positive,Pending Info,240.0
258,83,2023-07-06 05:59:41,Chatbot,Call Log,Verification of updated contact details,Negative,Resolved,239.0
259,84,2025-01-08 11:41:43,Chatbot,Call Log,Inquiry about adding a family member to the policy,Neutral,Escalated,241.0
260,85,2023-03-23 05:16:30,Email,Complaint,Incorrect personal details on file,Negative,Pending Info,242.0
261,85,2024-10-04 05:37:10,Social Media,Call Log,Inquiry about adding a family member to the policy,Neutral,Acknowledged,243.0
262,86,2024-06-17 04:08:58,In-Person,Complaint,Unsatisfactory claim process,Negative,Escalated,248.0
263,86,2024-07-01 04:24:24,Email,Feedback,Appreciation for quick claim settlement,Positive,Resolved,
264,87,2025-03-13 01:04:04,Phone,Complaint,Billing error in latest statement,Neutral,Acknowledged,
265,87,2023-05-12 18:59:11,Chatbot,Feedback,Concern about premium increase,Negative,Resolved,
266,87,2023-08-12 18:51:16,Chatbot,Call Log,Question regarding renewal process,Neutral,Pending Info,250.0
267,87,2023-07-26 20:45:16,Email,Call Log,Question regarding renewal process,Negative,Pending Info,249.0
268,88,2024-01-10 09:31:23,Social Media,Feedback,Appreciation for quick claim settlement,Neutral,Resolved,
269,89,2023-10-09 15:01:59,Chatbot,Feedback,Request for better mobile app experience,Negative,Acknowledged,
270,90,2024-04-07 16:53:56,Email,Feedback,Request for better mobile app experience,Positive,Acknowledged,
271,91,2024-09-28 14:14:13,Email,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
272,91,2025-02-25 03:06:43,In-Person,Call Log,Question regarding renewal process,Negative,Pending Info,272.0
273,91,2024-03-24 03:43:24,Phone,Feedback,Request for better mobile app experience,Neutral,Acknowledged,
274,91,2024-01-14 08:50:04,Social Media,Complaint,Long wait time on phone support,Neutral,Acknowledged,272.0
275,92,2023-08-06 01:56:25,In-Person,Complaint,Long wait time on phone support,Negative,Acknowledged,275.0
